station,o_IO108.csv
                                             
date,time,Hs,Hmax,Tz,Dir,Lw,Hs,Hmax,Lw,Dir,sl_Hs,sl_Tp,sl_Dir,sl_Hs,Dir,Tp
yyyymmdd,hhmmss,m,m,s,deg,m,ft,ft,ft,dir from,m,s,deg,ft,dir,s
20200201,120000,0.08,0.14,2.78,287.0,12.70,0.25,0.45,41.67,WNW,0.00,0.00,0.0,0.00,-,3.20
20200201,130000,0.07,0.13,2.74,287.0,12.30,0.24,0.43,40.35,WNW,0.00,0.00,0.0,0.00,-,3.20
20200201,140000,0.07,0.12,2.71,287.2,12.00,0.23,0.41,39.37,WNW,0.00,0.00,0.0,0.00,-,3.20
20200201,150000,0.07,0.12,2.68,287.5,11.80,0.22,0.39,38.71,WNW,0.00,0.00,0.0,0.00,-,3.20
20200201,160000,0.06,0.12,2.65,287.7,11.60,0.21,0.38,38.06,WNW,0.00,0.00,0.0,0.00,-,3.20
20200201,170000,0.06,0.11,2.62,287.9,11.30,0.20,0.36,37.07,WNW,0.00,0.00,0.0,0.00,-,3.10
20200201,180000,0.06,0.11,2.58,288.0,11.00,0.19,0.35,36.09,WNW,0.00,0.00,0.0,0.00,-,3.00
20200201,190000,0.06,0.10,2.53,288.0,10.60,0.18,0.33,34.78,WNW,0.00,0.00,0.0,0.00,-,3.00
20200201,200000,0.05,0.10,2.49,288.1,10.30,0.18,0.32,33.79,WNW,0.00,0.00,0.0,0.00,-,2.90
20200201,210000,0.05,0.09,2.46,288.3,10.00,0.17,0.31,32.81,WNW,0.00,0.00,0.0,0.00,-,2.90
20200201,220000,0.05,0.09,2.43,288.7,9.80,0.17,0.30,32.15,WNW,0.00,0.00,0.0,0.00,-,2.90
20200201,230000,0.05,0.09,0.00,0.0,0.00,0.16,0.29,0.00,N,0.00,0.00,0.0,0.00,-,0.00
20200202,000000,0.05,0.09,0.00,0.0,0.00,0.16,0.28,0.00,N,0.08,3.80,193.4,0.26,SSW,0.00
20200202,010000,0.05,0.08,0.00,0.0,0.00,0.15,0.27,0.00,N,0.00,0.00,0.0,0.00,-,0.00
20200202,020000,0.04,0.08,0.00,0.0,0.00,0.14,0.26,0.00,N,0.00,0.00,0.0,0.00,-,0.00
20200202,030000,0.04,0.08,0.00,0.0,0.00,0.14,0.25,0.00,N,0.00,0.00,0.0,0.00,-,0.00
20200202,040000,0.04,0.07,0.00,0.0,0.00,0.13,0.24,0.00,N,0.00,0.00,0.0,0.00,-,0.00
20200202,050000,0.04,0.07,0.00,0.0,0.00,0.13,0.23,0.00,N,0.00,0.00,0.0,0.00,-,0.00
20200202,060000,0.04,0.07,0.00,0.0,0.00,0.12,0.22,0.00,N,0.00,0.00,0.0,0.00,-,0.00
20200202,070000,0.04,0.07,0.00,0.0,0.00,0.12,0.22,0.00,N,0.00,0.00,0.0,0.00,-,0.00
20200202,080000,0.04,0.07,0.00,0.0,0.00,0.12,0.22,0.00,N,0.00,0.00,0.0,0.00,-,0.00
20200202,090000,0.07,0.12,2.05,288.2,7.40,0.22,0.40,24.28,WNW,0.00,0.00,0.0,0.00,-,1.90
20200202,100000,0.34,0.61,1.94,284.6,6.20,1.12,2.01,20.34,WNW,0.00,0.00,0.0,0.00,-,2.10
20200202,110000,0.57,1.03,3.00,285.2,14.70,1.88,3.39,48.23,WNW,0.00,0.00,0.0,0.00,-,3.20
20200202,120000,0.81,1.47,3.50,284.4,20.20,2.67,4.81,66.27,WNW,0.00,0.00,0.0,0.00,-,3.80
20200202,130000,1.01,1.82,4.00,283.4,26.60,3.32,5.98,87.27,WNW,0.00,0.00,0.0,0.00,-,4.50
20200202,140000,1.19,2.14,4.54,282.8,34.50,3.90,7.02,113.19,WNW,0.00,0.00,0.0,0.00,-,5.10
20200202,150000,1.31,2.36,4.91,282.9,40.50,4.30,7.75,132.87,WNW,0.00,0.00,0.0,0.00,-,5.60
20200202,160000,1.37,2.47,5.12,284.1,44.10,4.49,8.09,144.69,WNW,0.00,0.00,0.0,0.00,-,6.00
20200202,170000,1.38,2.49,5.25,285.3,46.50,4.54,8.17,152.56,WNW,0.00,0.00,0.0,0.00,-,6.20
20200202,180000,1.37,2.46,5.36,286.0,48.50,4.49,8.08,159.12,WNW,0.00,0.00,0.0,0.00,-,6.40
20200202,190000,1.35,2.43,5.43,286.3,49.90,4.43,7.97,163.71,WNW,0.00,0.00,0.0,0.00,-,6.60
20200202,200000,1.33,2.40,5.48,286.4,50.90,4.37,7.86,166.99,WNW,0.00,0.00,0.0,0.00,-,6.70
20200202,210000,1.30,2.33,5.53,286.5,51.80,4.26,7.66,169.95,WNW,0.00,0.00,0.0,0.00,-,6.70
20200202,220000,1.26,2.26,5.56,286.6,52.50,4.12,7.42,172.24,WNW,0.00,0.00,0.0,0.00,-,6.80
20200202,230000,1.22,2.20,5.60,286.5,53.30,4.01,7.22,174.87,WNW,0.00,0.00,0.0,0.00,-,6.80
20200203,000000,1.20,2.16,5.64,286.4,54.10,3.94,7.09,177.49,WNW,0.00,0.00,0.0,0.00,-,6.80
20200203,010000,1.19,2.14,5.67,286.1,54.70,3.90,7.02,179.46,WNW,0.00,0.00,0.0,0.00,-,6.90
20200203,020000,1.18,2.12,5.70,285.9,55.20,3.87,6.97,181.10,WNW,0.00,0.00,0.0,0.00,-,6.90
20200203,030000,1.17,2.10,5.72,285.8,55.60,3.84,6.90,182.41,WNW,0.00,0.00,0.0,0.00,-,6.90
20200203,040000,1.16,2.08,5.74,285.8,55.90,3.79,6.83,183.40,WNW,0.00,0.00,0.0,0.00,-,6.90
20200203,050000,1.15,2.08,5.75,285.6,56.10,3.79,6.81,184.06,WNW,0.00,0.00,0.0,0.00,-,6.90
20200203,060000,1.17,2.11,5.76,285.3,56.20,3.85,6.92,184.38,WNW,0.00,0.00,0.0,0.00,-,6.90
20200203,070000,1.22,2.20,5.71,285.2,55.40,4.01,7.21,181.76,WNW,0.00,0.00,0.0,0.00,-,6.90
20200203,080000,1.32,2.37,5.60,285.2,53.40,4.31,7.77,175.20,WNW,0.00,0.00,0.0,0.00,-,6.90
20200203,090000,1.46,2.62,5.53,285.3,52.00,4.78,8.61,170.60,WNW,0.00,0.00,0.0,0.00,-,6.70
